GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Id,Population Group,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,001,Total population,4712651,*****
0400000US02,02,Alaska,001,Total population,691189,*****
0400000US04,04,Arizona,001,Total population,6246816,*****
0400000US05,05,Arkansas,001,Total population,2872684,*****
0400000US06,06,California,001,Total population,36637290,*****
0400000US08,08,Colorado,001,Total population,4887061,*****
0400000US09,09,Connecticut,001,Total population,3545837,*****
0400000US10,10,Delaware,001,Total population,881278,*****
0400000US11,11,District of Columbia,001,Total population,584400,*****
0400000US12,12,Florida,001,Total population,18511620,*****
0400000US13,13,Georgia,001,Total population,9468815,*****
0400000US15,15,Hawaii,001,Total population,1333591,*****
0400000US16,16,Idaho,001,Total population,1526797,*****
0400000US17,17,Illinois,001,Total population,12745359,*****
0400000US18,18,Indiana,001,Total population,6417398,*****
0400000US19,19,Iowa,001,Total population,3016267,*****
0400000US20,20,Kansas,001,Total population,2809329,*****
0400000US21,21,Kentucky,001,Total population,4285828,*****
0400000US22,22,Louisiana,001,Total population,4429940,*****
0400000US23,23,Maine,001,Total population,1327665,*****
0400000US24,24,Maryland,001,Total population,5696423,*****
0400000US25,25,Massachusetts,001,Total population,6477096,*****
0400000US26,26,Michigan,001,Total population,9952687,*****
0400000US27,27,Minnesota,001,Total population,5241914,*****
0400000US28,28,Mississippi,001,Total population,2941991,*****
0400000US29,29,Missouri,001,Total population,5922314,*****
0400000US30,30,Montana,001,Total population,973739,*****
0400000US31,31,Nebraska,001,Total population,1799125,*****
0400000US32,32,Nevada,001,Total population,2633331,*****
0400000US33,33,New Hampshire,001,Total population,1313939,*****
0400000US34,34,New Jersey,001,Total population,8721577,*****
0400000US35,35,New Mexico,001,Total population,2013122,*****
0400000US36,36,New York,001,Total population,19229752,*****
0400000US37,37,North Carolina,001,Total population,9271178,*****
0400000US38,38,North Dakota,001,Total population,659858,*****
0400000US39,39,Ohio,001,Total population,11512431,*****
0400000US40,40,Oklahoma,001,Total population,3675339,*****
0400000US41,41,Oregon,001,Total population,3761925,*****
0400000US42,42,Pennsylvania,001,Total population,12612705,*****
0400000US44,44,Rhode Island,001,Total population,1056389,*****
0400000US45,45,South Carolina,001,Total population,4511428,*****
0400000US46,46,South Dakota,001,Total population,799462,*****
0400000US47,47,Tennessee,001,Total population,6234968,*****
0400000US48,48,Texas,001,Total population,24311891,*****
0400000US49,49,Utah,001,Total population,2657236,*****
0400000US50,50,Vermont,001,Total population,624258,*****
0400000US51,51,Virginia,001,Total population,7841754,*****
0400000US53,53,Washington,001,Total population,6561297,*****
0400000US54,54,West Virginia,001,Total population,1840802,*****
0400000US55,55,Wisconsin,001,Total population,5637947,*****
0400000US56,56,Wyoming,001,Total population,545579,*****
0400000US72,72,Puerto Rico,001,Total population,3762322,*****
