GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4661900,*****
0400000US02,02,Alaska,686293,*****
0400000US04,04,Arizona,6500180,*****
0400000US05,05,Arkansas,2855390,*****
0400000US06,06,California,36756666,*****
0400000US08,08,Colorado,4939456,*****
0400000US09,09,Connecticut,3501252,*****
0400000US10,10,Delaware,873092,*****
0400000US11,11,District of Columbia,591833,*****
0400000US12,12,Florida,18328340,*****
0400000US13,13,Georgia,9685744,*****
0400000US15,15,Hawaii,1288198,*****
0400000US16,16,Idaho,1523816,*****
0400000US17,17,Illinois,12901564,*****
0400000US18,18,Indiana,6376792,*****
0400000US19,19,Iowa,3002557,*****
0400000US20,20,Kansas,2802134,*****
0400000US21,21,Kentucky,4269245,*****
0400000US22,22,Louisiana,4410796,*****
0400000US23,23,Maine,1316456,*****
0400000US24,24,Maryland,5633597,*****
0400000US25,25,Massachusetts,6497967,*****
0400000US26,26,Michigan,10003422,*****
0400000US27,27,Minnesota,5220393,*****
0400000US28,28,Mississippi,2938618,*****
0400000US29,29,Missouri,5911605,*****
0400000US30,30,Montana,967440,*****
0400000US31,31,Nebraska,1783432,*****
0400000US32,32,Nevada,2600167,*****
0400000US33,33,New Hampshire,1315809,*****
0400000US34,34,New Jersey,8682661,*****
0400000US35,35,New Mexico,1984356,*****
0400000US36,36,New York,19490297,*****
0400000US37,37,North Carolina,9222414,*****
0400000US38,38,North Dakota,641481,*****
0400000US39,39,Ohio,11485910,*****
0400000US40,40,Oklahoma,3642361,*****
0400000US41,41,Oregon,3790060,*****
0400000US42,42,Pennsylvania,12448279,*****
0400000US44,44,Rhode Island,1050788,*****
0400000US45,45,South Carolina,4479800,*****
0400000US46,46,South Dakota,804194,*****
0400000US47,47,Tennessee,6214888,*****
0400000US48,48,Texas,24326974,*****
0400000US49,49,Utah,2736424,*****
0400000US50,50,Vermont,621270,*****
0400000US51,51,Virginia,7769089,*****
0400000US53,53,Washington,6549224,*****
0400000US54,54,West Virginia,1814468,*****
0400000US55,55,Wisconsin,5627968,*****
0400000US56,56,Wyoming,532668,*****
0400000US72,72,Puerto Rico,3954037,*****
