GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Total
0400000US01,01,Alabama,4447100
0400000US02,02,Alaska,626932
0400000US04,04,Arizona,5130632
0400000US05,05,Arkansas,2673400
0400000US06,06,California,33871648
0400000US08,08,Colorado,4301261
0400000US09,09,Connecticut,3405565
0400000US10,10,Delaware,783600
0400000US11,11,District of Columbia,572059
0400000US12,12,Florida,15982378
0400000US13,13,Georgia,8186453
0400000US15,15,Hawaii,1211537
0400000US16,16,Idaho,1293953
0400000US17,17,Illinois,12419293
0400000US18,18,Indiana,6080485
0400000US19,19,Iowa,2926324
0400000US20,20,Kansas,2688418
0400000US21,21,Kentucky,4041769
0400000US22,22,Louisiana,4468976
0400000US23,23,Maine,1274923
0400000US24,24,Maryland,5296486
0400000US25,25,Massachusetts,6349097
0400000US26,26,Michigan,9938444
0400000US27,27,Minnesota,4919479
0400000US28,28,Mississippi,2844658
0400000US29,29,Missouri,5595211
0400000US30,30,Montana,902195
0400000US31,31,Nebraska,1711263
0400000US32,32,Nevada,1998257
0400000US33,33,New Hampshire,1235786
0400000US34,34,New Jersey,8414350
0400000US35,35,New Mexico,1819046
0400000US36,36,New York,18976457
0400000US37,37,North Carolina,8049313
0400000US38,38,North Dakota,642200
0400000US39,39,Ohio,11353140
0400000US40,40,Oklahoma,3450654
0400000US41,41,Oregon,3421399
0400000US42,42,Pennsylvania,12281054
0400000US44,44,Rhode Island,1048319
0400000US45,45,South Carolina,4012012
0400000US46,46,South Dakota,754844
0400000US47,47,Tennessee,5689283
0400000US48,48,Texas,20851820
0400000US49,49,Utah,2233169
0400000US50,50,Vermont,608827
0400000US51,51,Virginia,7078515
0400000US53,53,Washington,5894121
0400000US54,54,West Virginia,1808344
0400000US55,55,Wisconsin,5363675
0400000US56,56,Wyoming,493782
0400000US72,72,Puerto Rico,3808610
